id,regel,modul,severity,location,titel,problem,vorschlag,verifikation,verifikationsart
1,architektur,Querschnitt,kritisch,app/Http/Controllers/Customer/NewLeadsController.php:1,"Fat Controller Extrem: NewLeadsController (14.049 Zeilen, 121 Methoden)","Der Controller umfasst 14.049 Zeilen und 121 public-Methoden. Einzelne Methoden wie loadHistoryFeed (693 Zeilen, L10594), loadHistoryModal (637L, L7946), view (633L, L1904), customerFeed (495L, L4028), store (493L, L517) und checkCustomer (407L, L5135) enthalten vollständige Geschäftslogik: Lead-Qualifizierung, Kundennummer-Generierung, Geo-Koordinaten-Verarbeitung, E-Mail-Statusprüfung, PV-Daten-Speicherung, Kalkulations-Logik. Der Controller importiert 53 verschiedene Model-Klassen direkt.","Den Controller in mind. 8 thematische Klassen aufteilen: LeadStoreService, LeadUpdateService, LeadViewService, LeadFeedService, LeadHistoryService, PvDataService, LeadQualificationService, LeadSearchService. FormRequest-Klassen für store() und update() anlegen (je ~40 Validierungsregeln). Geschäftslogik in Services auslagern, Controller reduziert auf Routing-Aufgaben.","Die Datei /Users/yamanuri/Documents/ticket/app/Http/Controllers/Customer/NewLeadsController.php hat exakt 14.049 Zeilen und 121 public Methoden (per wc -l und grep -c bestatigt). Alle genannten Methoden existieren an den gemeldeten Zeilennummern (loadHistoryFeed L10594, loadHistoryModal L7946, customerFeed L4028, checkCustomer L5135). Der Controller importiert 53 App\Models-Klassen direkt und enthalt inline Validierungslogik in store() ab L517. Es gibt keine Hinweise auf eine Projekt-Konvention, die dieses Muster rechtfertigt - der Schweregrad kritisch ist angemessen.",statisch
2,architektur,Querschnitt,kritisch,app/Http/Controllers/:1,Keine FormRequest-Klassen im gesamten Projekt (0 von 380 Controllern),"Im gesamten Projekt existiert kein einziges app/Http/Requests-Verzeichnis und keine FormRequest-Klasse. Alle Validierungen sind inline im Controller-Body per $request->validate(). Allein NewLeadsController und PlannerPlanController haben je 31 inline-validate()-Aufrufe; MainAppointmentController 15, PersonalTaskBoardController 19, DepartmentController 12, EmployeeController 10. Validierungsregeln sind nicht wiederverwendbar, nicht testbar und vergrößern Controller-Methoden unnötig.","app/Http/Requests/ anlegen. Priorität: StoreNewLeadRequest, UpdateNewLeadRequest (je ~40 Regeln), StorePlannerItemRequest, UpdateItemStatusRequest. Für jede Controller-Methode mit >5 validate()-Regeln eine eigene FormRequest-Klasse erstellen. Sofortiger Nutzen: Methoden wie store() in NewLeadsController schrumpfen von 493 auf ~50 Zeilen.","Das Verzeichnis app/Http/Requests existiert nicht, kein einziger Controller erbt von FormRequest (grep -rn ""extends FormRequest"" liefert keinen Treffer), und NewLeadsController.php hat exakt 31 validate()-Aufrufe bei einer Gesamtlänge von 14.049 Zeilen. 236 der 380 Controller-Dateien enthalten inline-validate()-Aufrufe. Alle Zahlen des Audit-Funds sind korrekt und verifizierbar.",statisch
3,architektur,Querschnitt,kritisch,app/Http/Controllers/:1,Fehlende Service-/Repository-Schicht: 374 von 380 Controllern ohne Service-Nutzung,"Von 380 Controllern nutzen nur 6 (1,6%) eine Service-Klasse aus app/Services/. Gleichzeitig gibt es 16 Service-Klassen und 0 Repository-Klassen. Sämtliche Geschäftslogik, DB-Abfragen, Berechnungen und externe API-Aufrufe sind direkt in Controller-Methoden implementiert. 53 Model-Importe in einem einzelnen Controller (NewLeadsController) sind symptomatisch für fehlende Abstraktionsschichten.","Service-Layer-Nutzung auf alle fetten Controller ausweiten. Repository-Pattern für häufige komplexe Queries (z.B. Lead-Suche, Kanban-Feed, Daily-Report-Reload) einführen. Faustregel: Jede Methode >50 Zeilen oder >1 Model-Schreiboperation gehört in einen Service.","Alle Zahlen des Audits sind exakt verifiziert: Von 380 Controllern importieren genau 6 (1,6%) eine App\Services\-Klasse; /app/Http/Controllers/Customer/NewLeadsController.php hat tatsaechlich 53 Model-Importe, 14.049 Zeilen und 1.154 direkte Eloquent/DB-Aufrufe innerhalb des Controllers. Es existiert kein Architektur- oder Conventions-Dokument, das dieses Muster als bewusste Projektstrategie ausweist, womit der kritische Schweregrad angemessen ist.",statisch
4,blade,Projekte & Planer,kritisch,resources/views/admin/appointments/show.blade.php:1635,Stored XSS: {!! $r->report !!} rendert Benutzer-HTML ungesanitized,"Der Inhalt des Feldes `report` aus `AppointmentReport` wird über `{!! $r->report !!}` direkt als rohes HTML ausgegeben. Das Feld wird in `AppointmentReportController@store` mit `$request->input('report')` ohne jede HTML-Sanitisierung gespeichert (app/Http/Controllers/Appointment/AppointmentReportController.php:112). Jeder authentifizierte Benutzer kann damit beliebiges JavaScript einschleusen, das bei allen Betrachtern des Termins ausgeführt wird (Stored XSS).","Entweder `{{ $r->report }}` mit Blade-Auto-Escaping verwenden, oder – falls Rich-Text gewünscht ist – einen HTML-Purifier (z. B. `mews/purifier`) vor dem Speichern einsetzen und erst dann `{!! ... !!}` verwenden.","Die Stelle existiert exakt wie beschrieben: `{!! $r->report !!}` in `show.blade.php:1635` gibt rohen HTML-Inhalt aus, der in `AppointmentReportController@store` (Zeile 112) ohne jede Sanitisierung via `$request->input('report')` mit nur der Validierungsregel `required|string` gespeichert wird. Weder das Model (`AppointmentReport`) noch Composer-Pakete enthalten einen HTML-Purifier oder eine vergleichbare Schutzmaßnahme — der Stored-XSS-Angriffspfad ist vollständig und unkontrolliert offen.",statisch
5,crud,Projekte & Planer,kritisch,app/Http/Controllers/Task/GeneralTaskController.php:161,Fehlende Autorisierung: Jeder angemeldete User kann jede GeneralTask bearbeiten/löschen/umsortieren,"Die Methoden `update()` (Z. 161), `destroy()` (Z. 358), `archive()` (Z. 330), `reorder()` (Z. 397) und `move()` (Z. 244) prüfen ausschließlich `auth`-Middleware, aber keinerlei Ownership oder Rollenberechtigung. Im `reorder()`-Closure fehlt `$employeeId` sogar im `use`-Block (Z. 419), obwohl er kurz davor abgerufen wird (Z. 415). Jeder eingeloggte Mitarbeiter kann beliebige Aufgaben anderer ändern, löschen oder in einen anderen Status verschieben.","Für jede Mutationsmethode prüfen, ob `auth()->user()->name == $generalTask->created_by` oder ob der User ein Assignee/Admin ist. Idealerweise eine `GeneralTaskPolicy` anlegen und `$this->authorize('update', $generalTask)` einsetzen.","Die Stelle existiert genau wie beschrieben: `update()` (Z. 161), `destroy()` (Z. 358), `archive()` (Z. 330), `reorder()` (Z. 397) und `move()` (Z. 244) sind ausschließlich durch `Route::middleware(['auth'])` (web.php Z. 3767) geschützt - keinerlei Ownership- oder Rollenprüfung, keine `GeneralTaskPolicy` vorhanden (nur PersonalTaskPolicy, AiChatPolicy, ChatGroupPolicy existieren). Zusätzlich fehlt `$employeeId` tatsächlich im `use`-Block des `reorder()`-Closures (Z. 419: `use ($data, $status, &$updated)`), obwohl er Z. 415 abgerufen wird - jeder eingeloggte Mitarbeiter kann beliebige fremde Aufgaben mutieren.",statisch
6,kausalitaet,Dashboard & Berichte,kritisch,app/Http/Controllers/EmployeeDashboardController.php:683-685,getTabCounts() referenziert undefinierte Klassen Task und Appointment,"Die Methode getTabCounts() ruft Task::count() und Appointment::count() auf. Weder Task noch Appointment sind in diesem Controller importiert (use-Anweisungen fehlen, vorhandene Klassen: PersonalTask, MainAppointment). Der Endpunkt /dashboard/tab-counts würde einen fatalen PHP-Fehler auslösen (Class 'App\Http\Controllers\Task' not found), was die Kernfunktion des Tab-Counters im Dashboard bricht.","Klasse Task durch PersonalTask und Appointment durch MainAppointment ersetzen, entsprechende use-Statements prüfen. Alternativ Methode vollständig über getDueToday-Logik abbilden.","Zeilen 683-684 von /Users/yamanuri/Documents/ticket/app/Http/Controllers/EmployeeDashboardController.php referenzieren tatsächlich `Task::count()` und `Appointment::count()` ohne entsprechende use-Anweisungen; importiert sind `App\Models\PersonalTask` und `App\Models\MainAppointment` (Zeilen 15-16). `App\Models\Task` existiert im Projekt überhaupt nicht, `App\Models\Appointment` existiert zwar als Datei, ist aber nicht importiert — beide Aufrufe würden einen fatalen ""Class not found""-Fehler auslösen. Der Schweregrad kritisch ist angemessen, da der Endpunkt vollständig ausfällt.",statisch
7,kausalitaet,CRM – Anfragen,kritisch,app/Http/Controllers/Inquiry/InquiryController.php:1360,update() setzt Status jeder Anfrage zwingend auf 'Unpublished' – verifizierte Anfragen werden zurueckgestuft,In der update()-Methode ist $inquiry->status = 'Unpublished' fest codiert (Zeile 1360). Eine bereits verifizierte (Published) Anfrage verliert damit beim naechsten Bearbeitungsvorgang ihren Verifikationsstatus. Das ist das genaue Gegenteil der erwarteten Wirkung ('Anfrage bearbeiten' darf Verifizierung nicht zuruecksetzen). Dasselbe Problem besteht in store() (Zeile 1072) und finalizeDraft() (Zeile 2519).,Status nur setzen wenn er noch 'Draft' oder nicht gesetzt ist: $inquiry->status = $inquiry->status === 'Published' ? 'Published' : 'Unpublished';. Den Verifikationsstatus explizit schtzen oder einen separaten Workflow-Status einfhren.,"An allen drei genannten Stellen (Zeilen 1360, 1072, 2519) ist $inquiry->status = 'Unpublished' bedingungslos hart codiert. Da 'Published' in Zeile 1566 durch einen separaten, expliziten Verifizierungsschritt gesetzt wird, beweist der Codekontext, dass dieser Statuswert semantisch geschützt sein müsste – tatsächlich überschreibt aber jeder Aufruf von update() oder finalizeDraft() ihn stillschweigend. Der Schweregrad 'kritisch' ist angemessen, da bereits verifizierte Anfragen bei jeder Bearbeitung automatisch dequalifiziert werden.",statisch
8,kausalitaet,CRM – Partner,kritisch,"app/Http/Controllers/Contacts/AllContactController.php:994,1001",Restore-Methoden auf Brand und Distributor ohne SoftDeletes-Trait – fatal error,"AllContactController::brand() ruft Brand::withTrashed()->where(...)->restore() auf, und ::distributor() ruft Distributor::withTrashed()->...->restore() auf. Weder das Brand-Model (app/Models/Brand.php) noch das Distributor-Model (app/Models/Distributor.php) verwenden den SoftDeletes-Trait; die Tabellen haben auch keine deleted_at-Spalte (verifiziert durch Migrations). Der Aufruf von withTrashed() auf einem regulären Eloquent-Builder wirft eine BadMethodCallException – die Restore-Funktion für 'Hersteller' und 'Lieferant' in der Kontaktansicht ist komplett defekt.","Entweder SoftDeletes-Trait und deleted_at-Migration für Brand und Distributor ergänzen, oder die Restore-Methoden entfernen/deaktivieren bis dahin.","Die Stelle existiert exakt wie beschrieben: AllContactController.php:994 und :1001 rufen Brand::withTrashed() bzw. Distributor::withTrashed() auf, aber beide Models (app/Models/Brand.php, app/Models/Distributor.php) verwenden ausschließlich den HasFactory-Trait ohne SoftDeletes, und die zugehörigen Migrations (2023_06_21_101726_create_brands_table.php, 2023_07_26_082336_create_distributors_table.php) definieren keine deleted_at-Spalte – auch keine spätere Alter-Migration ergänzt sie. Der Aufruf ist daher laufzeitbrechend (BadMethodCallException), Schweregrad kritisch ist angemessen.",statisch
9,kausalitaet,Personal / HR,kritisch,app/Http/Controllers/Employee/Profile/LeaveController.php:230-258,Leave-Genehmigung (approve) reduziert employees.remaining_day nicht,"Die Methode approve() setzt leave.approved='Yes' und leave.status='accept', aktualisiert aber employees.remaining_day nicht. Nur LeaveController@save (Dashboard-Pfad, Zeile 1114-1146) dekrementiert remaining_day. Der Admin-Hauptpfad leave_approve/{id} (GET, Zeile 1790) genehmigt Urlaub, ohne dass die Resttage des Mitarbeiters abnehmen — der Mitarbeiter kann unbegrenzt genehmigten Urlaub akkumulieren ohne Tage-Verbrauch.","In approve() nach $leave->save() die remaining_day des zugehörigen Mitarbeiters um $leave->duration verringern (mit DB::transaction und optimistischem Sperren): Employee::where('id',$leave->emp_id)->decrement('remaining_day', $leave->duration). Gleiches gilt für die change()-Methode bei type='accept'.","Die Stelle existiert exakt wie beschrieben: `approve()` (Zeile 230-258) setzt `approved='Yes'`/`status='accept'` und ruft `$leave->save()`, ohne `employees.remaining_day` zu verändern. Route `GET /leave_approve/{id}` (web.php:1790) zeigt direkt auf diese Methode. Nur `save()` (Zeile 1114-1146) dekrementiert `remaining_day` — beim Erstellen des Antrags, nicht bei der Genehmigung. Ebenso fehlt der Decrement in `change()` bei `type='accept'` (Zeile 664-677). Ein Mitarbeiter kann damit unbegrenzt Urlaub genehmigt bekommen, ohne dass seine Resttage sinken.",statisch
10,kausalitaet,Personal / HR,kritisch,app/Http/Controllers/Employee/Position/QualificationController.php:102-118,QualificationController::destroy() löscht FurtherEducation statt Qualification,"Die Methode destroy($id) referenziert FurtherEducation::find($id) (Zeile 104), obwohl der Controller QualificationController heißt und die Route emp.qualification.delete (DELETE /qualification_delete/{id}) Qualifikationen löschen soll. FurtherEducation ist nicht importiert (kein 'use'-Statement), was einen fatalen PHP-Fehler/NamespaceException auslöst. Selbst wenn die Klasse im globalen Namespace aufgelöst würde, würde das falsche Model gelöscht.","Zeile 104 auf Qualification::find($id) korrigieren und den FurtherEducation-Import entfernen. Anschließend sicherstellen, dass der Benutzer nur eigene Qualifikationen löschen darf (Ownership-Prüfung hinzufügen).","Zeile 104 in /Users/yamanuri/Documents/ticket/app/Http/Controllers/Employee/Position/QualificationController.php enthält tatsächlich `FurtherEducation::find($id)`, obwohl kein entsprechendes `use`-Statement existiert (nur `Qualification`, `Employee`, `Request` und `Redirect` sind importiert). Alle anderen Methoden des Controllers nutzen korrekt `Qualification::find(...)`, was den Copy-Paste-Fehler in `destroy()` bestätigt – der Endpoint löst zur Laufzeit einen fatalen PHP-Fehler aus (""Class not found""), Schweregrad kritisch ist angemessen.",statisch
