id,regel,modul,severity,status,location,titel,problem,vorschlag,confidence
1,architektur,Querschnitt,kritisch,bestätigt,app/Http/Controllers/Customer/NewLeadsController.php:1,"Fat Controller Extrem: NewLeadsController (14.049 Zeilen, 121 Methoden)","Der Controller umfasst 14.049 Zeilen und 121 public-Methoden. Einzelne Methoden wie loadHistoryFeed (693 Zeilen, L10594), loadHistoryModal (637L, L7946), view (633L, L1904), customerFeed (495L, L4028), store (493L, L517) und checkCustomer (407L, L5135) enthalten vollständige Geschäftslogik: Lead-Qualifizierung, Kundennummer-Generierung, Geo-Koordinaten-Verarbeitung, E-Mail-Statusprüfung, PV-Daten-Speicherung, Kalkulations-Logik. Der Controller importiert 53 verschiedene Model-Klassen direkt.","Den Controller in mind. 8 thematische Klassen aufteilen: LeadStoreService, LeadUpdateService, LeadViewService, LeadFeedService, LeadHistoryService, PvDataService, LeadQualificationService, LeadSearchService. FormRequest-Klassen für store() und update() anlegen (je ~40 Validierungsregeln). Geschäftslogik in Services auslagern, Controller reduziert auf Routing-Aufgaben.",hoch
2,architektur,Querschnitt,kritisch,nicht bestätigt,app/Http/Controllers/Planner/PlannerPlanController.php:1,"Fat Controller: PlannerPlanController (11.080 Zeilen, 67 Methoden)","11.080 Zeilen, 67 Methoden. destroyItemGallery hat 1.443 Zeilen (L5598), updateItemStatus 1.143 Zeilen (L1332), destroyItemStep 974 Zeilen (L8823), storeProjectWorkItem 755 Zeilen (L4687). Der Controller verwaltet gleichzeitig Planer-Pläne, Projekt-Kanban, Materialbestellungen, Team-Zuweisungen, Checklisten, Tages-Zeiterfassung und Notifikationen – mindestens 6 separate Domänen in einer Klasse.","Mindestens aufteilen in: PlannerItemService, ProjectWorkflowService, PlannerMaterialService, PlannerTeamService. updateItemStatus mit 1143 Zeilen und 31 inline-validate()-Aufrufen als prioritärer Kandidat für eigene RequestValidator-Klasse und Service-Extraktion.",hoch
3,architektur,Querschnitt,kritisch,bestätigt,app/Http/Controllers/:1,Keine FormRequest-Klassen im gesamten Projekt (0 von 380 Controllern),"Im gesamten Projekt existiert kein einziges app/Http/Requests-Verzeichnis und keine FormRequest-Klasse. Alle Validierungen sind inline im Controller-Body per $request->validate(). Allein NewLeadsController und PlannerPlanController haben je 31 inline-validate()-Aufrufe; MainAppointmentController 15, PersonalTaskBoardController 19, DepartmentController 12, EmployeeController 10. Validierungsregeln sind nicht wiederverwendbar, nicht testbar und vergrößern Controller-Methoden unnötig.","app/Http/Requests/ anlegen. Priorität: StoreNewLeadRequest, UpdateNewLeadRequest (je ~40 Regeln), StorePlannerItemRequest, UpdateItemStatusRequest. Für jede Controller-Methode mit >5 validate()-Regeln eine eigene FormRequest-Klasse erstellen. Sofortiger Nutzen: Methoden wie store() in NewLeadsController schrumpfen von 493 auf ~50 Zeilen.",hoch
4,architektur,Querschnitt,kritisch,bestätigt,app/Http/Controllers/:1,Fehlende Service-/Repository-Schicht: 374 von 380 Controllern ohne Service-Nutzung,"Von 380 Controllern nutzen nur 6 (1,6%) eine Service-Klasse aus app/Services/. Gleichzeitig gibt es 16 Service-Klassen und 0 Repository-Klassen. Sämtliche Geschäftslogik, DB-Abfragen, Berechnungen und externe API-Aufrufe sind direkt in Controller-Methoden implementiert. 53 Model-Importe in einem einzelnen Controller (NewLeadsController) sind symptomatisch für fehlende Abstraktionsschichten.","Service-Layer-Nutzung auf alle fetten Controller ausweiten. Repository-Pattern für häufige komplexe Queries (z.B. Lead-Suche, Kanban-Feed, Daily-Report-Reload) einführen. Faustregel: Jede Methode >50 Zeilen oder >1 Model-Schreiboperation gehört in einen Service.",hoch
5,blade,Projekte & Planer,kritisch,bestätigt,resources/views/admin/appointments/show.blade.php:1635,Stored XSS: {!! $r->report !!} rendert Benutzer-HTML ungesanitized,"Der Inhalt des Feldes `report` aus `AppointmentReport` wird über `{!! $r->report !!}` direkt als rohes HTML ausgegeben. Das Feld wird in `AppointmentReportController@store` mit `$request->input('report')` ohne jede HTML-Sanitisierung gespeichert (app/Http/Controllers/Appointment/AppointmentReportController.php:112). Jeder authentifizierte Benutzer kann damit beliebiges JavaScript einschleusen, das bei allen Betrachtern des Termins ausgeführt wird (Stored XSS).","Entweder `{{ $r->report }}` mit Blade-Auto-Escaping verwenden, oder – falls Rich-Text gewünscht ist – einen HTML-Purifier (z. B. `mews/purifier`) vor dem Speichern einsetzen und erst dann `{!! ... !!}` verwenden.",hoch
6,crud,Projekte & Planer,kritisch,bestätigt,app/Http/Controllers/Task/GeneralTaskController.php:161,Fehlende Autorisierung: Jeder angemeldete User kann jede GeneralTask bearbeiten/löschen/umsortieren,"Die Methoden `update()` (Z. 161), `destroy()` (Z. 358), `archive()` (Z. 330), `reorder()` (Z. 397) und `move()` (Z. 244) prüfen ausschließlich `auth`-Middleware, aber keinerlei Ownership oder Rollenberechtigung. Im `reorder()`-Closure fehlt `$employeeId` sogar im `use`-Block (Z. 419), obwohl er kurz davor abgerufen wird (Z. 415). Jeder eingeloggte Mitarbeiter kann beliebige Aufgaben anderer ändern, löschen oder in einen anderen Status verschieben.","Für jede Mutationsmethode prüfen, ob `auth()->user()->name == $generalTask->created_by` oder ob der User ein Assignee/Admin ist. Idealerweise eine `GeneralTaskPolicy` anlegen und `$this->authorize('update', $generalTask)` einsetzen.",hoch
7,kausalitaet,Dashboard & Berichte,kritisch,bestätigt,app/Http/Controllers/EmployeeDashboardController.php:683-685,getTabCounts() referenziert undefinierte Klassen Task und Appointment,"Die Methode getTabCounts() ruft Task::count() und Appointment::count() auf. Weder Task noch Appointment sind in diesem Controller importiert (use-Anweisungen fehlen, vorhandene Klassen: PersonalTask, MainAppointment). Der Endpunkt /dashboard/tab-counts würde einen fatalen PHP-Fehler auslösen (Class 'App\Http\Controllers\Task' not found), was die Kernfunktion des Tab-Counters im Dashboard bricht.","Klasse Task durch PersonalTask und Appointment durch MainAppointment ersetzen, entsprechende use-Statements prüfen. Alternativ Methode vollständig über getDueToday-Logik abbilden.",hoch
8,kausalitaet,CRM – Anfragen,kritisch,bestätigt,app/Http/Controllers/Inquiry/InquiryController.php:1360,update() setzt Status jeder Anfrage zwingend auf 'Unpublished' – verifizierte Anfragen werden zurueckgestuft,In der update()-Methode ist $inquiry->status = 'Unpublished' fest codiert (Zeile 1360). Eine bereits verifizierte (Published) Anfrage verliert damit beim naechsten Bearbeitungsvorgang ihren Verifikationsstatus. Das ist das genaue Gegenteil der erwarteten Wirkung ('Anfrage bearbeiten' darf Verifizierung nicht zuruecksetzen). Dasselbe Problem besteht in store() (Zeile 1072) und finalizeDraft() (Zeile 2519).,Status nur setzen wenn er noch 'Draft' oder nicht gesetzt ist: $inquiry->status = $inquiry->status === 'Published' ? 'Published' : 'Unpublished';. Den Verifikationsstatus explizit schtzen oder einen separaten Workflow-Status einfhren.,hoch
9,kausalitaet,CRM – Partner,kritisch,bestätigt,"app/Http/Controllers/Contacts/AllContactController.php:994,1001",Restore-Methoden auf Brand und Distributor ohne SoftDeletes-Trait – fatal error,"AllContactController::brand() ruft Brand::withTrashed()->where(...)->restore() auf, und ::distributor() ruft Distributor::withTrashed()->...->restore() auf. Weder das Brand-Model (app/Models/Brand.php) noch das Distributor-Model (app/Models/Distributor.php) verwenden den SoftDeletes-Trait; die Tabellen haben auch keine deleted_at-Spalte (verifiziert durch Migrations). Der Aufruf von withTrashed() auf einem regulären Eloquent-Builder wirft eine BadMethodCallException – die Restore-Funktion für 'Hersteller' und 'Lieferant' in der Kontaktansicht ist komplett defekt.","Entweder SoftDeletes-Trait und deleted_at-Migration für Brand und Distributor ergänzen, oder die Restore-Methoden entfernen/deaktivieren bis dahin.",hoch
10,kausalitaet,Personal / HR,kritisch,bestätigt,app/Http/Controllers/Employee/Profile/LeaveController.php:230-258,Leave-Genehmigung (approve) reduziert employees.remaining_day nicht,"Die Methode approve() setzt leave.approved='Yes' und leave.status='accept', aktualisiert aber employees.remaining_day nicht. Nur LeaveController@save (Dashboard-Pfad, Zeile 1114-1146) dekrementiert remaining_day. Der Admin-Hauptpfad leave_approve/{id} (GET, Zeile 1790) genehmigt Urlaub, ohne dass die Resttage des Mitarbeiters abnehmen — der Mitarbeiter kann unbegrenzt genehmigten Urlaub akkumulieren ohne Tage-Verbrauch.","In approve() nach $leave->save() die remaining_day des zugehörigen Mitarbeiters um $leave->duration verringern (mit DB::transaction und optimistischem Sperren): Employee::where('id',$leave->emp_id)->decrement('remaining_day', $leave->duration). Gleiches gilt für die change()-Methode bei type='accept'.",hoch
11,kausalitaet,Personal / HR,kritisch,bestätigt,app/Http/Controllers/Employee/Position/QualificationController.php:102-118,QualificationController::destroy() löscht FurtherEducation statt Qualification,"Die Methode destroy($id) referenziert FurtherEducation::find($id) (Zeile 104), obwohl der Controller QualificationController heißt und die Route emp.qualification.delete (DELETE /qualification_delete/{id}) Qualifikationen löschen soll. FurtherEducation ist nicht importiert (kein 'use'-Statement), was einen fatalen PHP-Fehler/NamespaceException auslöst. Selbst wenn die Klasse im globalen Namespace aufgelöst würde, würde das falsche Model gelöscht.","Zeile 104 auf Qualification::find($id) korrigieren und den FurtherEducation-Import entfernen. Anschließend sicherstellen, dass der Benutzer nur eigene Qualifikationen löschen darf (Ownership-Prüfung hinzufügen).",hoch
12,kausalitaet,Finanzen,kritisch,bestätigt,app/Http/Controllers/Customer/BegFundingsController.php:49,BegFundingsController::store() referenziert nicht-existierende Klasse BegFunding (Fatal Error),In store() wird BegFunding::create([...]) aufgerufen (singular). Importiert ist aber App\Models\BegFundings (plural). Eine Klasse BegFunding existiert nicht (Model-Datei nicht gefunden). Jeder POST auf beg-fundings.store endet mit einem PHP-Fatal-Error.,Zeile 49 auf BegFundings::create([...]) korrigieren (konsistent mit dem Import in Zeile 6).,hoch
13,kausalitaet,Admin & System,kritisch,bestätigt,app/Http/Controllers/Admin/GarbageController.php:29,GarbageController prüft Berechtigung gegen falsche Spalte (user->name statt user->id),"ensureDeletePermission() sucht in user_rolls mit WHERE user_id = auth()->user()->name. user_rolls.user_id ist eine Foreign Key auf users.id (unsignedBigInteger, siehe Migration 2023_06_14). users.name speichert jedoch die employee_id (String). Ergebnis: Die Berechtigungsprüfung schlägt für alle Benutzer fehl (kein Match), abort_unless(false, 403) blockiert jeden Zugriff – oder, wenn employee_id numerisch ist und zufällig einer users.id entspricht, wird fälschlicherweise Zugang gewährt. Die gesamte Garbage-Bereinigung ist funktionsunfähig.","Zeile 29 ändern auf ->where('user_id', $user->id), analog zur korrekten Implementierung in UserRollController.php.",hoch
