paket;nr;navi_pfad;route_name;controller@methode;schwere;typ;befund;datei:zeile;fix_skizze;aufwand;dedup
P0;01;CRM>Anfragen>Website-Leads;fusion.forms.*;FusionFormSubmissionController;kritisch;Sicherheit;Ganze Fusion-Routengruppe nur 'web' ohne auth + kein Controller-ctor -> alle Website-Leads (Name/Mail/Tel/Adresse) anonym als JSON;routes/web.php:655-665 + FusionFormSubmissionController.php:32;auth-Middleware auf Gruppe;S;NEU
P0;02;CRM>Kommunikation>E-Mail-Konten;email.configuration;EmailConfigurationController;kritisch;Sicherheit;IMAP-Passwort unverschluesselt (Model ohne casts) + im DOM als input-value + Edit-Modal type=text sichtbar;app/Models/EmailConfiguration.php:12-14 + configuration.blade.php:202,118,336;casts encrypted, nicht vorbefuellen;M;NEU
P0;03;CRM>Kommunikation>Lead-Konten;lead-email-accounts.*;LeadEmailAccountsController@store;kritisch;Sicherheit;IMAP-Passwort Klartext in DB + data-password im DOM;account.blade.php:276 + LeadEmailAccountsController.php:94;password verschluesseln, data-password entfernen;M;bekannt(befund#16)
P0;04;Vertrieb>Angebote>Neues Angebot;offers.wizard.templates/show;OfferTemplateController@wizardShow;hoch;Sicherheit;non-auth offers-Block + kein ctor -> Vorlage inkl. Kalkulation (net-Preise) anonym als JSON;routes/web.php:3258,3277 + OfferTemplateController.php:19,764;ctor auth oder Routen in auth-Gruppe;S;NEU
P0;05;Admin>System (Banner);system-warning.current;SystemWarningController@current;niedrig;Sicherheit;/system-warning/current ausserhalb auth -> Systemhinweis anonym (Info-Disclosure);routes/web.php:438;auth oder bewusst public dokumentieren;S;NEU
P0;06;Admin>Benutzer (alle);user.make.admin/store/destroy;UserController;kritisch;Sicherheit;Legacy-User-Gruppe nur web,auth ohne permission -> jeder Auth-User kann via make_admin/{id} Admin werden oder User anlegen/loeschen;routes/web.php:2183-2236;permission:Users je Aktion + GET->POST;M;bekannt(befund#114/#122)
P0;07;Vertrieb>Auftraege>Rechnungen;admin.invoices.index;InvoiceController@index;hoch;Auth/Recht;InvoiceMiddleware (Invoice-Rolle) im Kernel registriert aber NIRGENDS angewandt -> jeder Auth-User sieht/aendert Rechnungen;routes/web.php:4464 + InvoiceMiddleware.php;Middleware auf Gruppe legen (auf isAdmin-Muster gefixt);S;NEU
P0;08;Artikel(4 Gruppen);product/measure/discount_group/formula.*;-;hoch;Auth/Recht;['middleware'=>'web','is_Admin'] -> is_Admin steht auf Array-Index[0], Admin-Gate wirkt NIE; nur ctor-auth greift;routes/web.php:2283,2481,2850,2869;['middleware'=>['web','is_Admin']];S;bekannt-erweitert(befund#28)
P0;09;CRM>Anfragen(Aktionen);inquiry.update/delete/junk;InquiryController;hoch;Auth/Recht;Keine serverseitige Rechtepruefung; canUpdate/canDelete nur an View -> jeder Auth-User aendert/loescht fremde Anfragen per POST;InquiryController.php:1335,1515;abort_unless(perms,403);S;bekannt(befund#61)
P0;10;Projekte>Allgemeine Aufgaben;general-tasks.update/destroy/restore;GeneralTaskController;kritisch;Auth/Recht;IDOR: jeder Auth-User aendert/loescht/verschiebt/stellt fremde Aufgaben wieder her; keine Policy; restore() ebenfalls ohne Ownership;GeneralTaskController.php:161,244,330,358,397,537-562;GeneralTaskPolicy + authorize();M;bekannt(befund#5)+NEU(restore)
